ISO3,Country,Population,ForestArea_km2
ABW,Aruba,107359,4.2
AFG,Afghanistan,41454761,12084.4
AGO,Angola,36749906,660523.1
AIA,Anguilla,,
ALB,Albania,2414095,7889
AND,Andorra,80856,160
ANT,Netherlands Antilles (former),,
ARE,United Arab Emirates,10483751,3173
ARG,Argentina,45538401,284640
ARM,Armenia,2964300,3282.6
ASM,American Samoa,47521,171
ATF,French Southern Territories,,
ATG,Antigua and Barbuda,93316,80.5
AUS,Australia,26659922,1340051
AUT,Austria,9131761,38926.4
AZE,Azerbaijan,10153958,11433.0
BDI,Burundi,13689450,2796.4
BEL,Belgium,11779946,6893
BEN,Benin,14111034,30851.5
BFA,Burkina Faso,23025776,61664
BGD,Bangladesh,171466990,18834
BGR,Bulgaria,6446596,39060
BHR,Bahrain,1577059,7.2
BHS,Bahamas,399440,5098.6
BIH,Bosnia and Herzegovina,3185073,21879.1
BLR,Belarus,9178298,87821
BLZ,Belize,411106,12658.9
BMU,Bermuda,64698,10
BOL,Bolivia (Plurinational State of),12244159,506207.7
BRA,Brazil,211140729,4953910
BRB,Barbados,282336,63
BRN,Brunei Darussalam,458949,3800
BTN,Bhutan,786385,27270
BWA,Botswana,2480244,151364
CAF,Central African Republic,5152421,222730
CAN,Canada,40083484,3468911.1
CCK,Cocos (Keeling) Islands,,
CHE,Switzerland,8888822,12725.5
CHL,Chile,19658835,183336.2
CHN,China,1410710000,2218580
CIV,Ivoire,31165654,27238.3
CMR,Cameroon,28372687,202844.8
COD,Democratic Republic of the Congo,105789731,1250540
COG,Congo,6182885,219310
COK,Cook Islands,,
COL,Colombia,52321152,589426.3
COM,Comoros,850387,324.8
CPV,Cabo Verde,522331,460.2
CRI,Costa Rica,5105525,30512.4
CUB,Cuba,11019931,32420
CUW,Curaçao,154654,0.7
CXR,Christmas Island,,
CYM,Cayman Islands,73038,126.6
CYP,Cyprus,1344976,1725.1
CZE,Czechia,10864042,26789
DEU,Germany,83287273,114190
DJI,Djibouti,1152944,58.7
DMA,Dominica,66510,478.7
DNK,Denmark,5946952,6293.8
DOM,Dominican Republic,11331265,21521.9
DZA,Algeria,46164219,19580
ECU,Ecuador,17980083,124335.6
EGY,Egypt,114535772,449.8
ERI,Eritrea,3470390,10521
ESH,Western Sahara,,
ESP,Spain,48352528,185764.6
EST,Estonia,1370286,24384
ETH,Ethiopia,128691692,169955
FIN,Finland,5583911,224090
FJI,Fiji,924145,11467
FLK,Falkland Islands (Malvinas),,
FRA,France,68372286,173364
FRO,Faroe Islands,54414,0.8
FSM,Micronesia (Federated States of),112630,644.5
GAB,Gabon,2484789,235187.2
GBR,United Kingdom of Great Britain and Northern Ireland,68492000,31986.7
GEO,Georgia,3715483,28224
GHA,Ghana,33787914,79929.3
GIB,Gibraltar,38471,0
GIN,Guinea,14405468,61490
GLP,Guadeloupe,,
GMB,Gambia,2697845,2369.3
GNB,Guinea-Bissau,2153339,19715.7
GNQ,Equatorial Guinea,1847549,24400.6
GRC,Greece,10407351,39018
GRD,Grenada,117081,177
GRL,Greenland,56865,2.2
GTM,Guatemala,18124838,35162
GUF,French Guiana,,
GUM,Guam,166506,280
GUY,Guyana,826353,184061.3
HKG,"China, Hong Kong SAR",7536100,
HND,Honduras,10644851,63383.1
HRV,Croatia,3859686,19416.1
HTI,Haiti,11637398,3441.9
HUN,Hungary,9592186,20515.6
IDN,Indonesia,281190067,915276.6
IND,India,1438069596,724260
IRL,Ireland,5311538,7860.2
IRN,Iran (Islamic Republic of),90608707,107660
IRQ,Iraq,45074049,8250
ISL,Iceland,385663,520
ISR,Israel,9849000,1400
ITA,Italy,58984216,96199.4
JAM,Jamaica,2839786,6007.7
JOR,Jordan,11439213,975
JPN,Japan,124516650,249350
KAZ,Kazakhstan,20330104,34839.2
KEN,Kenya,55339003,36110.9
KGZ,Kyrgyzstan,7099750,13336.2
KHM,Cambodia,17423880,79126.8
KIR,Kiribati,132530,11.8
KNA,Saint Kitts and Nevis,46758,110
KOR,Republic of Korea,51712619,62770
KWT,Kuwait,4853420,62.5
LAO,s Democratic Republic,7664993,165610
LBN,Lebanon,5773493,1439.3
LBR,Liberia,5493031,75871.8
LBY,Libya,7305659,2170
LCA,Saint Lucia,179285,207.7
LIE,Liechtenstein,39846,67
LKA,Sri Lanka,22037000,21098.6
LSO,Lesotho,2311472,345.2
LTU,Lithuania,2871585,22026.7
LUX,Luxembourg,666430,887
LVA,Latvia,1883710,34146.6
MAC,"China, Macao SAR",678800,
MAR,Morocco,37712505,57529.6
MDA,Republic of Moldova,2457783,3865
MDG,Madagascar,31195932,124166.0
MDV,Maldives,525994,8.2
MEX,Mexico,129739759,655640
MHL,Marshall Islands,38827,94
MKD,North Macedonia,1827816,10014.9
MLI,Mali,23769127,132960
MLT,Malta,552747,4.6
MMR,Myanmar,54133798,282541.8
MNE,Montenegro,623529,8270
MNG,Mongolia,3481145,141716.7
MOZ,Mozambique,33635160,364976.0
